,PROD_CD,SLSMAN_CD,PLAN_MONTH,PLAN_YEAR,TARGET_IN_EA,ACH_IN_EA
10217,PROD_19,SLSMAN_81,12,2019,"6,720","6,034"
18360,PROD_25,SLSMAN_138,12,2019,648,670
11162,PROD_56,SLSMAN_87,12,2019,252,0
2915,PROD_35,SLSMAN_19,10,2019,"13,632","19,824"
3151,PROD_38,SLSMAN_21,11,2019,252,157
11624,PROD_5,SLSMAN_91,12,2019,80,6
13656,PROD_20,SLSMAN_104,11,2019,48,96
17275,PROD_17,SLSMAN_129,11,2019,"5,364","3,002"
20775,PROD_13,SLSMAN_160,12,2019,252,190
4066,PROD_17,SLSMAN_30,10,2019,"10,188","10,914"
3439,PROD_45,SLSMAN_24,12,2019,0,31
13251,PROD_59,SLSMAN_101,12,2019,420,393
3621,PROD_10,SLSMAN_26,12,2019,0,13
17412,PROD_8,SLSMAN_130,11,2019,0,6
10941,PROD_22,SLSMAN_86,10,2019,"6,800",940
14336,PROD_37,SLSMAN_108,1,2020,72,0
26080,PROD_7,SLSMAN_200,11,2019,0,"1,271"
9290,PROD_21,SLSMAN_70,11,2019,108,60
20590,PROD_76,SLSMAN_158,10,2019,0,"1,251"
2802,PROD_74,SLSMAN_18,11,2019,0,0
28259,PROD_9,SLSMAN_224,11,2019,0,210
2340,PROD_82,SLSMAN_15,12,2019,"4,032","2,874"
26766,PROD_27,SLSMAN_209,10,2019,108,85
26284,PROD_33,SLSMAN_204,10,2019,684,432
12080,PROD_16,SLSMAN_94,10,2019,0,"1,944"
9113,PROD_21,SLSMAN_68,10,2019,12,0
3608,PROD_80,SLSMAN_25,1,2020,648,0
13541,PROD_39,SLSMAN_103,10,2019,288,322
26208,PROD_47,SLSMAN_203,11,2019,0,"8,829"
3557,PROD_39,SLSMAN_25,10,2019,612,466
17292,PROD_21,SLSMAN_129,12,2019,216,261
12717,PROD_35,SLSMAN_98,11,2019,"1,152","1,248"
18376,PROD_32,SLSMAN_138,12,2019,348,388
19077,PROD_19,SLSMAN_143,10,2019,"18,144","17,736"
12234,PROD_22,SLSMAN_95,10,2019,"10,000","3,086"
7937,PROD_17,SLSMAN_57,10,2019,"10,908","10,214"
12274,PROD_38,SLSMAN_95,10,2019,324,289
10699,PROD_39,SLSMAN_84,10,2019,324,357
16352,PROD_31,SLSMAN_123,11,2019,"5,600","28,800"
24374,PROD_42,SLSMAN_186,11,2019,36,48
15005,PROD_52,SLSMAN_112,10,2019,400,0
7834,PROD_36,SLSMAN_56,10,2019,0,10
24660,PROD_54,SLSMAN_189,12,2019,0,2
13046,PROD_35,SLSMAN_100,11,2019,"10,080","12,669"
24846,PROD_9,SLSMAN_191,10,2019,0,80
23215,PROD_58,SLSMAN_178,12,2019,"9,912","9,857"
25462,PROD_10,SLSMAN_195,10,2019,0,5
25265,PROD_51,SLSMAN_193,11,2019,0,519
8775,PROD_32,SLSMAN_64,1,2020,312,0
788,PROD_19,SLSMAN_6,10,2019,"11,592","14,465"
8517,PROD_17,SLSMAN_62,11,2019,"13,644","3,807"
24557,PROD_35,SLSMAN_188,10,2019,0,150
10676,PROD_32,SLSMAN_84,11,2019,324,362
24003,PROD_23,SLSMAN_184,11,2019,72,39
20348,PROD_38,SLSMAN_156,11,2019,540,536
26113,PROD_6,SLSMAN_201,12,2019,0,798
21245,PROD_15,SLSMAN_163,1,2020,"6,624",0
2946,PROD_47,SLSMAN_19,10,2019,"2,544","1,707"
14249,PROD_76,SLSMAN_107,11,2019,0,0
13388,PROD_45,SLSMAN_102,12,2019,288,180
10977,PROD_36,SLSMAN_86,10,2019,24,8
3580,PROD_51,SLSMAN_25,11,2019,0,768
8459,PROD_39,SLSMAN_61,11,2019,0,3
18509,PROD_16,SLSMAN_139,12,2019,"2,664","1,920"
25669,PROD_37,SLSMAN_196,10,2019,36,43
22681,PROD_38,SLSMAN_173,10,2019,324,357
3023,PROD_26,SLSMAN_20,12,2019,0,12
13033,PROD_31,SLSMAN_100,10,2019,"1,600",401
6989,PROD_32,SLSMAN_49,12,2019,156,180
20273,PROD_10,SLSMAN_156,10,2019,0,100
1978,PROD_42,SLSMAN_13,10,2019,144,169
1523,PROD_47,SLSMAN_10,10,2019,984,"1,425"
19501,PROD_62,SLSMAN_146,10,2019,"3,066","1,699"
18221,PROD_51,SLSMAN_136,12,2019,"2,808","2,836"
10590,PROD_62,SLSMAN_83,11,2019,"1,512",900
17098,PROD_13,SLSMAN_128,12,2019,"2,484","2,218"
8545,PROD_25,SLSMAN_62,11,2019,432,394
7161,PROD_81,SLSMAN_50,12,2019,"1,032","1,972"
19594,PROD_19,SLSMAN_148,11,2019,"8,232","8,707"
22089,PROD_52,SLSMAN_169,10,2019,400,0
17867,PROD_81,SLSMAN_132,11,2019,576,220
27513,PROD_17,SLSMAN_214,1,2020,"2,700",0
12757,PROD_56,SLSMAN_98,10,2019,144,192
16497,PROD_25,SLSMAN_124,12,2019,540,654
5643,PROD_3,SLSMAN_41,1,2020,40,0
13806,PROD_15,SLSMAN_105,10,2019,"4,464","5,027"
20432,PROD_36,SLSMAN_157,11,2019,0,4
4127,PROD_45,SLSMAN_30,12,2019,384,576
2863,PROD_18,SLSMAN_19,10,2019,"2,052","2,867"
618,PROD_14,SLSMAN_5,1,2020,"16,488",0
10338,PROD_13,SLSMAN_82,12,2019,"8,856","6,510"
16504,PROD_27,SLSMAN_124,11,2019,324,298
13490,PROD_22,SLSMAN_103,12,2019,"10,400","19,002"
18494,PROD_13,SLSMAN_139,1,2020,"5,688",0
10861,PROD_51,SLSMAN_85,11,2019,0,"8,526"
23631,PROD_11,SLSMAN_182,1,2020,288,0
358,PROD_26,SLSMAN_3,12,2019,480,684
15559,PROD_3,SLSMAN_117,10,2019,40,3
5919,PROD_80,SLSMAN_42,12,2019,576,539
25064,PROD_32,SLSMAN_192,11,2019,"1,320","1,019"
22711,PROD_56,SLSMAN_173,10,2019,504,820
18919,PROD_18,SLSMAN_142,12,2019,"1,104",0
18820,PROD_22,SLSMAN_141,10,2019,"5,600","4,290"
8006,PROD_45,SLSMAN_57,1,2020,480,0
4849,PROD_33,SLSMAN_35,1,2020,180,0
24224,PROD_50,SLSMAN_185,12,2019,"23,520","18,175"
9339,PROD_38,SLSMAN_70,12,2019,216,230
7160,PROD_81,SLSMAN_50,11,2019,192,416
8977,PROD_38,SLSMAN_66,1,2020,108,0
3986,PROD_42,SLSMAN_29,11,2019,108,127
22310,PROD_15,SLSMAN_171,10,2019,"7,824","8,310"
24855,PROD_13,SLSMAN_191,10,2019,36,710
10369,PROD_25,SLSMAN_82,11,2019,324,347
4020,PROD_61,SLSMAN_29,12,2019,"1,848",114
3001,PROD_11,SLSMAN_20,12,2019,0,1
26680,PROD_59,SLSMAN_208,1,2020,420,0
9604,PROD_5,SLSMAN_74,12,2019,160,76
18620,PROD_76,SLSMAN_139,10,2019,0,"1,559"
4792,PROD_13,SLSMAN_35,10,2019,"3,060","3,164"
19262,PROD_33,SLSMAN_144,10,2019,"4,248","3,460"
1200,PROD_54,SLSMAN_8,1,2020,12,0
9075,PROD_5,SLSMAN_68,10,2019,160,155
7458,PROD_11,SLSMAN_53,1,2020,108,0
17698,PROD_61,SLSMAN_131,11,2019,"4,158","1,471"
14953,PROD_32,SLSMAN_112,1,2020,804,0
5934,PROD_5,SLSMAN_43,1,2020,320,0
16312,PROD_16,SLSMAN_123,11,2019,0,"6,030"
2919,PROD_36,SLSMAN_19,10,2019,72,50
9972,PROD_43,SLSMAN_79,12,2019,"7,128","5,116"
19968,PROD_27,SLSMAN_152,1,2020,216,0
22091,PROD_56,SLSMAN_169,1,2020,540,0
15133,PROD_37,SLSMAN_113,11,2019,144,187
4856,PROD_36,SLSMAN_35,12,2019,48,25
20750,PROD_81,SLSMAN_159,11,2019,0,86
25191,PROD_19,SLSMAN_193,1,2020,"5,040",0
11056,PROD_5,SLSMAN_87,1,2020,160,0
3591,PROD_58,SLSMAN_25,12,2019,"21,000","17,743"
14849,PROD_54,SLSMAN_111,10,2019,12,0
21204,PROD_74,SLSMAN_162,10,2019,0,127
14906,PROD_14,SLSMAN_112,1,2020,"21,168",0
10940,PROD_22,SLSMAN_86,1,2020,"7,200",0
21010,PROD_43,SLSMAN_161,11,2019,0,"9,503"
1233,PROD_82,SLSMAN_8,12,2019,"4,662","1,710"
18950,PROD_31,SLSMAN_142,12,2019,"1,600","2,380"
15595,PROD_18,SLSMAN_117,1,2020,"2,328",0
16724,PROD_58,SLSMAN_125,10,2019,"37,128","31,457"
20418,PROD_13,SLSMAN_157,11,2019,0,398
18349,PROD_22,SLSMAN_138,1,2020,"17,200",0
18868,PROD_80,SLSMAN_141,12,2019,"1,680","1,261"
26235,PROD_13,SLSMAN_204,11,2019,"7,344","5,666"
21071,PROD_5,SLSMAN_162,10,2019,160,193
16030,PROD_25,SLSMAN_121,10,2019,252,404
22646,PROD_25,SLSMAN_173,11,2019,432,412
1776,PROD_22,SLSMAN_12,1,2020,"7,600",0
18396,PROD_38,SLSMAN_138,12,2019,180,158
2027,PROD_74,SLSMAN_13,10,2019,0,"6,698"
1260,PROD_11,SLSMAN_9,11,2019,396,420
15618,PROD_25,SLSMAN_117,12,2019,360,442
22098,PROD_58,SLSMAN_169,12,2019,"26,544","29,288"
18174,PROD_31,SLSMAN_136,1,2020,400,0
18188,PROD_37,SLSMAN_136,10,2019,144,156
8941,PROD_25,SLSMAN_66,1,2020,288,0
18231,PROD_56,SLSMAN_136,12,2019,216,122
6509,PROD_35,SLSMAN_46,1,2020,"10,464",0
11068,PROD_13,SLSMAN_87,10,2019,"3,924","4,590"
19503,PROD_62,SLSMAN_146,12,2019,"3,150",783
25999,PROD_80,SLSMAN_198,12,2019,624,448
3728,PROD_25,SLSMAN_27,12,2019,468,471
5102,PROD_26,SLSMAN_37,1,2020,48,0
4480,PROD_81,SLSMAN_32,11,2019,0,88
11006,PROD_48,SLSMAN_86,10,2019,0,136
20774,PROD_13,SLSMAN_160,11,2019,180,181
6331,PROD_26,SLSMAN_45,12,2019,324,238
8412,PROD_58,SLSMAN_60,10,2019,"36,960","40,800"
27702,PROD_35,SLSMAN_215,12,2019,"1,632","2,333"
8145,PROD_27,SLSMAN_58,1,2020,144,0
22413,PROD_61,SLSMAN_171,10,2019,"3,402","1,424"
12053,PROD_86,SLSMAN_93,12,2019,0,61
25797,PROD_26,SLSMAN_197,11,2019,456,285
21187,PROD_58,SLSMAN_162,1,2020,"2,688",0
10939,PROD_20,SLSMAN_86,12,2019,0,24
25897,PROD_14,SLSMAN_198,11,2019,180,170
16714,PROD_50,SLSMAN_125,10,2019,"53,712","39,214"
24644,PROD_32,SLSMAN_189,10,2019,0,465
1537,PROD_54,SLSMAN_10,1,2020,48,0
5354,PROD_13,SLSMAN_39,10,2019,"2,952","3,653"
26145,PROD_70,SLSMAN_201,12,2019,0,540
23376,PROD_38,SLSMAN_180,11,2019,252,169
21609,PROD_50,SLSMAN_165,10,2019,"34,752","26,349"
21949,PROD_58,SLSMAN_168,11,2019,"25,536","27,234"
25405,PROD_47,SLSMAN_194,11,2019,"1,152",695
10571,PROD_51,SLSMAN_83,11,2019,0,"1,691"
3048,PROD_82,SLSMAN_20,12,2019,0,272
17422,PROD_13,SLSMAN_130,11,2019,"6,912","6,293"
18995,PROD_50,SLSMAN_142,11,2019,"19,296","25,130"
25392,PROD_39,SLSMAN_194,12,2019,"1,692","1,251"
18654,PROD_11,SLSMAN_140,11,2019,396,346
7307,PROD_16,SLSMAN_52,10,2019,0,123
19794,PROD_27,SLSMAN_150,1,2020,108,0
25415,PROD_56,SLSMAN_194,10,2019,36,0
18680,PROD_19,SLSMAN_140,12,2019,"4,872","4,836"
26872,PROD_3,SLSMAN_210,11,2019,40,0
16323,PROD_19,SLSMAN_123,10,2019,"36,960","37,386"
3422,PROD_19,SLSMAN_24,12,2019,0,"1,080"
13693,PROD_33,SLSMAN_104,1,2020,"9,180",0
20541,PROD_39,SLSMAN_158,1,2020,324,0
22007,PROD_15,SLSMAN_169,12,2019,"7,728","7,434"
4069,PROD_18,SLSMAN_30,1,2020,516,0
3658,PROD_61,SLSMAN_26,11,2019,0,133
4357,PROD_15,SLSMAN_32,12,2019,"2,304","2,481"
8584,PROD_39,SLSMAN_62,10,2019,324,371
2841,PROD_11,SLSMAN_19,12,2019,324,284
6343,PROD_32,SLSMAN_45,12,2019,"1,656","1,094"
24025,PROD_32,SLSMAN_184,1,2020,612,0
2578,PROD_36,SLSMAN_17,12,2019,24,13
23050,PROD_62,SLSMAN_176,10,2019,"5,040","2,111"
25003,PROD_10,SLSMAN_192,12,2019,0,102
14294,PROD_18,SLSMAN_108,10,2019,588,570
17160,PROD_35,SLSMAN_128,1,2020,"9,792",0
1018,PROD_42,SLSMAN_7,10,2019,108,136
7785,PROD_14,SLSMAN_56,12,2019,"5,040","4,555"
18049,PROD_56,SLSMAN_134,10,2019,252,220
8277,PROD_2,SLSMAN_60,11,2019,0,12
25690,PROD_47,SLSMAN_196,1,2020,"1,872",0
28204,PROD_75,SLSMAN_222,11,2019,0,178
19625,PROD_32,SLSMAN_148,11,2019,"3,072","3,467"
22884,PROD_68,SLSMAN_174,11,2019,0,1
20110,PROD_16,SLSMAN_154,1,2020,"1,476",0
14276,PROD_11,SLSMAN_108,12,2019,0,62
10765,PROD_5,SLSMAN_85,1,2020,80,0
26057,PROD_70,SLSMAN_199,11,2019,0,966
26461,PROD_35,SLSMAN_206,12,2019,"12,000","9,735"
16528,PROD_38,SLSMAN_124,11,2019,540,322
20100,PROD_13,SLSMAN_154,11,2019,"2,808","2,020"
13971,PROD_14,SLSMAN_106,12,2019,"22,824","21,296"
27918,PROD_13,SLSMAN_217,12,2019,"6,624","5,467"
8263,PROD_43,SLSMAN_59,11,2019,0,376
5536,PROD_25,SLSMAN_40,11,2019,576,507
13341,PROD_27,SLSMAN_102,11,2019,36,47
1838,PROD_47,SLSMAN_12,12,2019,"1,344","1,065"
27306,PROD_50,SLSMAN_212,11,2019,"15,840","16,836"
22925,PROD_80,SLSMAN_175,11,2019,0,15
17834,PROD_54,SLSMAN_132,10,2019,12,0
26406,PROD_14,SLSMAN_206,11,2019,"17,640","16,955"
25211,PROD_27,SLSMAN_193,1,2020,108,0
12594,PROD_45,SLSMAN_97,12,2019,96,367
12858,PROD_25,SLSMAN_99,10,2019,324,705
13463,PROD_15,SLSMAN_103,1,2020,"5,928",0
20272,PROD_5,SLSMAN_156,12,2019,160,212
27244,PROD_23,SLSMAN_212,1,2020,36,0
10531,PROD_35,SLSMAN_83,1,2020,"9,408",0
20436,PROD_42,SLSMAN_157,11,2019,0,7
10378,PROD_27,SLSMAN_82,12,2019,72,21
570,PROD_58,SLSMAN_4,1,2020,"31,752",0
667,PROD_32,SLSMAN_5,12,2019,180,48
25907,PROD_17,SLSMAN_198,1,2020,"19,296",0
22535,PROD_42,SLSMAN_172,1,2020,144,0
25745,PROD_10,SLSMAN_197,11,2019,0,31
21985,PROD_5,SLSMAN_169,10,2019,160,101
19382,PROD_14,SLSMAN_146,1,2020,"14,796",0
12398,PROD_26,SLSMAN_96,11,2019,72,81
15098,PROD_23,SLSMAN_113,12,2019,144,167
20529,PROD_36,SLSMAN_158,1,2020,72,0
9749,PROD_23,SLSMAN_75,12,2019,108,179
24455,PROD_17,SLSMAN_187,11,2019,0,"2,842"
24688,PROD_10,SLSMAN_190,11,2019,0,311
17166,PROD_36,SLSMAN_128,11,2019,48,26
6623,PROD_18,SLSMAN_47,12,2019,"12,828",0
15775,PROD_5,SLSMAN_119,10,2019,400,261
10987,PROD_38,SLSMAN_86,12,2019,432,273
21385,PROD_13,SLSMAN_164,11,2019,"18,180","14,552"
21142,PROD_33,SLSMAN_162,11,2019,468,432
6321,PROD_23,SLSMAN_45,10,2019,36,19
19031,PROD_83,SLSMAN_142,11,2019,0,144
25607,PROD_12,SLSMAN_196,10,2019,0,4
4688,PROD_23,SLSMAN_34,1,2020,108,0
14694,PROD_54,SLSMAN_110,12,2019,12,0
18095,PROD_23,SLSMAN_135,11,2019,0,6
14395,PROD_80,SLSMAN_108,10,2019,480,446
20997,PROD_37,SLSMAN_161,12,2019,144,162
3957,PROD_32,SLSMAN_29,11,2019,144,0
17432,PROD_16,SLSMAN_130,1,2020,"2,988",0
9899,PROD_14,SLSMAN_79,11,2019,"36,252","34,861"
12762,PROD_58,SLSMAN_98,11,2019,"8,232","9,448"
23237,PROD_81,SLSMAN_178,11,2019,0,72
16581,PROD_80,SLSMAN_124,11,2019,432,521
25889,PROD_11,SLSMAN_198,11,2019,504,518
24875,PROD_18,SLSMAN_191,10,2019,"1,224","2,146"
10788,PROD_16,SLSMAN_85,12,2019,"7,164","1,750"
13304,PROD_15,SLSMAN_102,10,2019,"3,036","3,255"
22416,PROD_62,SLSMAN_171,1,2020,"5,334",0
27601,PROD_58,SLSMAN_214,1,2020,"4,200",0
8076,PROD_5,SLSMAN_58,12,2019,800,591
27427,PROD_39,SLSMAN_213,10,2019,180,132
12554,PROD_27,SLSMAN_97,12,2019,36,14
8606,PROD_50,SLSMAN_62,12,2019,"38,496","38,187"
23832,PROD_22,SLSMAN_183,11,2019,"11,600","25,390"
21399,PROD_17,SLSMAN_164,10,2019,"29,052","29,449"
14924,PROD_19,SLSMAN_112,12,2019,"2,352","2,220"
23611,PROD_81,SLSMAN_181,12,2019,264,152
18599,PROD_56,SLSMAN_139,1,2020,144,0
8635,PROD_63,SLSMAN_62,10,2019,0,5
24842,PROD_5,SLSMAN_191,1,2020,320,0
22477,PROD_19,SLSMAN_172,10,2019,"4,368","4,752"
27388,PROD_25,SLSMAN_213,1,2020,108,0
20297,PROD_17,SLSMAN_156,10,2019,"21,384","22,896"
18881,PROD_3,SLSMAN_142,1,2020,40,0
10319,PROD_82,SLSMAN_81,12,2019,"2,562","1,552"
168,PROD_13,SLSMAN_2,10,2019,"5,616","5,193"
3592,PROD_59,SLSMAN_25,1,2020,714,0
3156,PROD_39,SLSMAN_21,12,2019,288,320
19792,PROD_26,SLSMAN_150,11,2019,60,23
17118,PROD_18,SLSMAN_128,12,2019,588,0
16241,PROD_50,SLSMAN_122,1,2020,"70,656",0
17841,PROD_58,SLSMAN_132,1,2020,"29,064",0
7062,PROD_81,SLSMAN_49,10,2019,192,37
15642,PROD_35,SLSMAN_117,12,2019,"16,128","16,018"
4984,PROD_37,SLSMAN_36,1,2020,36,0
5558,PROD_35,SLSMAN_40,1,2020,192,0
17288,PROD_20,SLSMAN_129,12,2019,"1,632","2,202"
16417,PROD_76,SLSMAN_123,11,2019,0,0
3626,PROD_15,SLSMAN_26,11,2019,0,334
2282,PROD_42,SLSMAN_15,12,2019,144,211
20171,PROD_39,SLSMAN_154,1,2020,432,0
19151,PROD_51,SLSMAN_143,12,2019,0,"1,754"
22719,PROD_59,SLSMAN_173,10,2019,630,377
17302,PROD_25,SLSMAN_129,10,2019,396,493
1608,PROD_19,SLSMAN_11,1,2020,336,0
23245,PROD_5,SLSMAN_179,11,2019,0,3
10514,PROD_25,SLSMAN_83,12,2019,216,244
3885,PROD_58,SLSMAN_28,11,2019,0,120
5380,PROD_19,SLSMAN_39,12,2019,"5,712","6,405"
8393,PROD_45,SLSMAN_60,1,2020,576,0
2019,PROD_61,SLSMAN_13,10,2019,"2,646","1,472"
9499,PROD_22,SLSMAN_73,12,2019,"5,200","1,560"
13679,PROD_27,SLSMAN_104,10,2019,144,118
10118,PROD_42,SLSMAN_80,12,2019,72,108
10423,PROD_50,SLSMAN_82,12,2019,"40,704","25,894"
25491,PROD_18,SLSMAN_195,12,2019,"1,812",0
21113,PROD_23,SLSMAN_162,10,2019,72,61
11210,PROD_11,SLSMAN_88,11,2019,"1,332","1,180"
22866,PROD_56,SLSMAN_174,12,2019,576,506
20651,PROD_22,SLSMAN_159,11,2019,"5,600","8,610"
25671,PROD_37,SLSMAN_196,12,2019,72,81
2053,PROD_11,SLSMAN_14,10,2019,0,11
28026,PROD_59,SLSMAN_217,12,2019,"1,008",750
3343,PROD_39,SLSMAN_23,10,2019,216,395
14688,PROD_50,SLSMAN_110,11,2019,"28,752","21,755"
19788,PROD_25,SLSMAN_150,11,2019,360,222
15229,PROD_15,SLSMAN_114,12,2019,"5,892","4,963"
8878,PROD_58,SLSMAN_65,11,2019,0,114
11881,PROD_61,SLSMAN_92,11,2019,"5,334","10,861"
12842,PROD_19,SLSMAN_99,12,2019,"5,376","6,476"
12163,PROD_59,SLSMAN_94,1,2020,"1,764",0
25582,PROD_81,SLSMAN_195,1,2020,216,0
17156,PROD_33,SLSMAN_128,1,2020,"3,852",0
19604,PROD_25,SLSMAN_148,1,2020,360,0
14309,PROD_25,SLSMAN_108,10,2019,324,253
25424,PROD_61,SLSMAN_194,11,2019,"18,396","2,276"
3539,PROD_33,SLSMAN_25,12,2019,"1,620","1,080"
7086,PROD_15,SLSMAN_50,1,2020,792,0
20295,PROD_16,SLSMAN_156,12,2019,"1,044","4,222"
24586,PROD_61,SLSMAN_188,11,2019,0,"3,381"
22016,PROD_18,SLSMAN_169,12,2019,0,6
15561,PROD_3,SLSMAN_117,12,2019,80,0
25016,PROD_14,SLSMAN_192,11,2019,"19,476","22,496"
1567,PROD_81,SLSMAN_10,11,2019,120,0
17714,PROD_83,SLSMAN_131,11,2019,0,"1,799"
16873,PROD_50,SLSMAN_126,10,2019,"32,592","18,938"
27707,PROD_37,SLSMAN_215,1,2020,108,0
18968,PROD_37,SLSMAN_142,10,2019,108,109
14825,PROD_39,SLSMAN_111,12,2019,288,163
20837,PROD_37,SLSMAN_160,11,2019,72,61
28111,PROD_60,SLSMAN_219,11,2019,0,"1,012"
15598,PROD_18,SLSMAN_117,12,2019,"2,304",0
866,PROD_47,SLSMAN_6,1,2020,"1,728",0
18960,PROD_35,SLSMAN_142,10,2019,"6,144","7,172"
20071,PROD_19,SLSMAN_153,12,2019,0,687
15036,PROD_81,SLSMAN_112,10,2019,24,0
9736,PROD_18,SLSMAN_75,10,2019,"1,308","1,891"
25013,PROD_13,SLSMAN_192,12,2019,936,662
27714,PROD_38,SLSMAN_215,12,2019,72,72
28124,PROD_4,SLSMAN_220,12,2019,0,14
20346,PROD_38,SLSMAN_156,1,2020,756,0
22525,PROD_37,SLSMAN_172,11,2019,108,88
16012,PROD_18,SLSMAN_121,12,2019,900,1
2818,PROD_83,SLSMAN_18,12,2019,"2,604","1,636"
9279,PROD_18,SLSMAN_70,12,2019,"3,312",0
5245,PROD_26,SLSMAN_38,10,2019,12,12
25736,PROD_3,SLSMAN_197,1,2020,40,0
14407,PROD_83,SLSMAN_108,12,2019,"1,638","2,258"
7831,PROD_35,SLSMAN_56,10,2019,"1,056","1,164"
8244,PROD_10,SLSMAN_59,11,2019,0,16
11678,PROD_36,SLSMAN_91,10,2019,48,42
11348,PROD_86,SLSMAN_88,12,2019,0,525
28157,PROD_6,SLSMAN_221,12,2019,0,"1,015"
1636,PROD_32,SLSMAN_11,1,2020,"1,008",0
1790,PROD_26,SLSMAN_12,11,2019,144,60
20041,PROD_61,SLSMAN_152,11,2019,"3,444","5,873"
18445,PROD_59,SLSMAN_138,10,2019,840,751
4934,PROD_15,SLSMAN_36,1,2020,684,0
16475,PROD_18,SLSMAN_124,12,2019,"4,908",0
3937,PROD_22,SLSMAN_29,11,2019,"13,600","25,765"
443,PROD_80,SLSMAN_3,12,2019,720,637
25291,PROD_80,SLSMAN_193,12,2019,528,318
10688,PROD_36,SLSMAN_84,11,2019,24,25
8783,PROD_35,SLSMAN_64,1,2020,"9,120",0
28151,PROD_79,SLSMAN_220,11,2019,0,120
19244,PROD_25,SLSMAN_144,12,2019,396,314
9967,PROD_42,SLSMAN_79,10,2019,108,90
20245,PROD_19,SLSMAN_155,11,2019,0,132
4312,PROD_76,SLSMAN_31,10,2019,0,308
28156,PROD_6,SLSMAN_221,11,2019,0,502
2180,PROD_80,SLSMAN_14,10,2019,816,519
12066,PROD_11,SLSMAN_94,12,2019,144,101
4623,PROD_61,SLSMAN_33,12,2019,"3,780",3
16279,PROD_82,SLSMAN_122,12,2019,0,"2,775"
24931,PROD_38,SLSMAN_191,11,2019,180,230
270,PROD_58,SLSMAN_2,11,2019,"8,232","8,714"
2079,PROD_23,SLSMAN_14,1,2020,72,0
20386,PROD_59,SLSMAN_156,10,2019,"1,554",211
7389,PROD_48,SLSMAN_52,11,2019,120,0
18896,PROD_13,SLSMAN_142,1,2020,432,0
19759,PROD_15,SLSMAN_150,10,2019,"2,172","2,289"
3121,PROD_27,SLSMAN_21,1,2020,108,0
20287,PROD_14,SLSMAN_156,12,2019,"16,272","13,009"
11939,PROD_18,SLSMAN_93,12,2019,816,25
26138,PROD_60,SLSMAN_201,12,2019,0,"2,630"
824,PROD_31,SLSMAN_6,10,2019,"1,200",0
16205,PROD_33,SLSMAN_122,11,2019,"4,068","3,428"
12128,PROD_38,SLSMAN_94,10,2019,468,518
7297,PROD_13,SLSMAN_52,12,2019,180,147
5366,PROD_16,SLSMAN_39,10,2019,0,"1,089"
6953,PROD_20,SLSMAN_49,11,2019,120,48
13100,PROD_59,SLSMAN_100,12,2019,378,522
7083,PROD_14,SLSMAN_50,10,2019,828,"1,419"
8233,PROD_81,SLSMAN_58,10,2019,"1,248",512
14814,PROD_37,SLSMAN_111,1,2020,180,0
18274,PROD_35,SLSMAN_137,11,2019,0,387
21891,PROD_31,SLSMAN_168,10,2019,"2,400","1,056"
18662,PROD_14,SLSMAN_140,11,2019,"41,508","34,844"
14666,PROD_39,SLSMAN_110,1,2020,288,0
24116,PROD_83,SLSMAN_184,12,2019,"5,040","3,985"
6926,PROD_13,SLSMAN_49,12,2019,"5,400","4,770"
20610,PROD_5,SLSMAN_159,1,2020,320,0
12630,PROD_80,SLSMAN_97,12,2019,336,282
26978,PROD_45,SLSMAN_210,12,2019,432,404
15142,PROD_39,SLSMAN_113,12,2019,360,299
2305,PROD_54,SLSMAN_15,11,2019,0,0
21109,PROD_22,SLSMAN_162,10,2019,"1,600",410
7128,PROD_47,SLSMAN_50,11,2019,"5,544","4,203"
17017,PROD_42,SLSMAN_127,11,2019,216,194
12737,PROD_42,SLSMAN_98,11,2019,144,111
16132,PROD_5,SLSMAN_122,12,2019,400,271
770,PROD_13,SLSMAN_6,12,2019,"3,708","3,196"
14322,PROD_32,SLSMAN_108,11,2019,252,222
14524,PROD_48,SLSMAN_109,10,2019,0,6
18798,PROD_5,SLSMAN_141,11,2019,0,7
4572,PROD_37,SLSMAN_33,1,2020,72,0
10891,PROD_81,SLSMAN_85,12,2019,72,139
8917,PROD_18,SLSMAN_66,1,2020,"2,952",0
7368,PROD_38,SLSMAN_52,12,2019,108,114
8102,PROD_15,SLSMAN_58,10,2019,"2,376","2,792"
2758,PROD_42,SLSMAN_18,12,2019,108,86
23468,PROD_13,SLSMAN_181,12,2019,"2,916","2,531"
13708,PROD_37,SLSMAN_104,12,2019,72,89
17173,PROD_38,SLSMAN_128,10,2019,216,209
25307,PROD_5,SLSMAN_194,10,2019,400,541
16201,PROD_32,SLSMAN_122,11,2019,"2,064","1,869"
6682,PROD_42,SLSMAN_47,10,2019,864,840
15959,PROD_50,SLSMAN_120,12,2019,0,"1,898"
17366,PROD_56,SLSMAN_129,12,2019,504,265
26477,PROD_39,SLSMAN_206,12,2019,288,118
20281,PROD_13,SLSMAN_156,10,2019,"5,868","6,061"
13883,PROD_42,SLSMAN_105,10,2019,144,177
3315,PROD_31,SLSMAN_23,10,2019,400,"1,200"
28148,PROD_75,SLSMAN_220,12,2019,0,372
27452,PROD_52,SLSMAN_213,10,2019,800,0
21436,PROD_36,SLSMAN_164,1,2020,24,0
2934,PROD_40,SLSMAN_19,12,2019,0,0
10545,PROD_38,SLSMAN_83,11,2019,180,228
